submission_date,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at
1/22/2020,0,,,0,,0,,,0,,3/26/2020 16:22
1/23/2020,0,,,0,,0,,,0,,3/26/2020 16:22
1/24/2020,1,,,1,,0,,,0,,3/26/2020 16:22
1/25/2020,1,,,0,,0,,,0,,3/26/2020 16:22
1/26/2020,1,,,0,,0,,,0,,3/26/2020 16:22
1/27/2020,1,,,0,,0,,,0,,3/26/2020 16:22
1/28/2020,1,,,0,,0,,,0,,3/26/2020 16:22
1/29/2020,1,,,0,,0,,,0,,3/26/2020 16:22
1/30/2020,1,,,0,,0,,,0,,3/26/2020 16:22
1/31/2020,2,,,1,,0,,,0,,3/26/2020 16:22
2/1/2020,2,,,0,,0,,,0,,3/26/2020 16:22
2/2/2020,2,,,0,,0,,,0,,3/26/2020 16:22
2/3/2020,2,,,0,,0,,,0,,3/26/2020 16:22
2/4/2020,2,,,0,,0,,,0,,3/26/2020 16:22
2/5/2020,2,,,0,,0,,,0,,3/26/2020 16:22
2/6/2020,2,,,0,,0,,,0,,3/26/2020 16:22
2/7/2020,2,,,0,,0,,,0,,3/26/2020 16:22
2/8/2020,2,,,0,,0,,,0,,3/26/2020 16:22
2/9/2020,2,,,0,,0,,,0,,3/26/2020 16:22
2/10/2020,2,,,0,,0,,,0,,3/26/2020 16:22
2/11/2020,2,,,0,,0,,,0,,3/26/2020 16:22
2/12/2020,2,,,0,,0,,,0,,3/26/2020 16:22
2/13/2020,2,,,0,,0,,,0,,3/26/2020 16:22
2/14/2020,2,,,0,,0,,,0,,3/26/2020 16:22
2/15/2020,2,,,0,,0,,,0,,3/26/2020 16:22
2/16/2020,2,,,0,,0,,,0,,3/26/2020 16:22
2/17/2020,2,,,0,,0,,,0,,3/26/2020 16:22
2/18/2020,2,,,0,,0,,,0,,3/26/2020 16:22
2/19/2020,2,,,0,,0,,,0,,3/26/2020 16:22
2/20/2020,2,,,0,,0,,,0,,3/26/2020 16:22
2/21/2020,2,,,0,,0,,,0,,3/26/2020 16:22
2/22/2020,2,,,0,,0,,,0,,3/26/2020 16:22
2/23/2020,2,,,0,,0,,,0,,3/26/2020 16:22
2/24/2020,2,,,0,,0,,,0,,3/26/2020 16:22
2/25/2020,2,,,0,,0,,,0,,3/26/2020 16:22
2/26/2020,2,,,0,,0,,,0,,3/26/2020 16:22
2/27/2020,2,,,0,,0,,,0,,3/26/2020 16:22
2/28/2020,2,,,0,,0,,,0,,3/26/2020 16:22
2/29/2020,2,,,0,,0,,,0,,3/26/2020 16:22
3/1/2020,3,,,1,,0,,,0,,3/26/2020 16:22
3/2/2020,4,,,1,,0,,,0,,3/26/2020 16:22
3/3/2020,4,,,0,,0,,,0,,3/26/2020 16:22
3/4/2020,4,,,0,,0,,,0,,3/26/2020 16:22
3/5/2020,5,,,1,,0,,,0,,3/26/2020 16:22
3/6/2020,6,,,1,,0,,,0,,3/26/2020 16:22
3/7/2020,6,,,0,,0,,,0,,3/26/2020 16:22
3/8/2020,7,,,1,,0,,,0,,3/26/2020 16:22
3/9/2020,11,,,4,,0,,,0,,3/26/2020 16:22
3/10/2020,19,,,8,,0,,,0,,3/26/2020 16:22
3/11/2020,27,,,8,,0,,,0,,3/26/2020 16:22
3/12/2020,32,,,5,,0,,,0,,3/26/2020 16:22
3/13/2020,32,,,0,,0,,,0,,3/26/2020 16:22
3/14/2020,32,,,0,,0,,,0,,3/26/2020 16:22
3/15/2020,93,,,61,,0,,,0,,3/26/2020 16:22
3/16/2020,105,,,12,,0,,,0,,3/26/2020 16:22
3/17/2020,160,,,55,,1,,,1,,3/26/2020 16:22
3/18/2020,288,,,128,,1,,,0,,3/26/2020 16:22
3/19/2020,422,,,134,,4,,,3,,3/26/2020 16:22
3/20/2020,585,,,163,,5,,,1,,3/26/2020 16:22
3/21/2020,753,,,168,,6,,,1,,3/26/2020 16:22
3/22/2020,1049,,,296,,9,,,3,,3/26/2020 16:22
3/23/2020,1285,,,236,,12,,,3,,3/26/2020 16:22
3/24/2020,1535,,,250,,16,,,4,,3/26/2020 16:22
3/25/2020,1865,,,330,,19,,,3,,3/26/2020 16:22
3/26/2020,2538,,,673,,26,,,7,,3/26/2020 16:22
3/27/2020,3026,,,488,,34,,,8,,3/26/2020 16:22
3/28/2020,3491,,,465,,47,,,13,,3/28/2020 16:22
3/29/2020,4596,,,1105,,65,,,18,,3/28/2020 16:22
3/30/2020,5057,,,461,,73,,,8,,3/29/2020 16:22
3/31/2020,5994,,,937,,99,,,26,,3/30/2020 16:22
4/1/2020,6980,,,986,,141,,,42,,3/31/2020 16:22
4/2/2020,7695,,,715,,157,,,16,,4/1/2020 16:22
4/3/2020,8904,,,1209,,210,,,53,,4/3/2020 16:22
4/4/2020,10357,,,1453,,243,,,33,,4/3/2020 16:22
4/5/2020,11256,,,899,,274,,,31,,4/4/2020 16:22
4/6/2020,12262,,,1006,,307,,,33,,4/5/2020 16:22
4/7/2020,13549,,,1287,,380,,,73,,4/7/2020 16:22
4/8/2020,15078,,,1529,,462,,,82,,4/7/2020 16:22
4/9/2020,16422,,,1344,,528,,,66,,4/8/2020 16:22
4/10/2020,17887,,,1465,,596,,,68,,4/9/2020 16:22
4/11/2020,19180,,,1293,,677,,,81,,4/10/2020 16:22
4/12/2020,20852,,,1672,,720,,,43,,4/11/2020 16:22
4/13/2020,22025,,,1173,,794,,,74,,4/12/2020 16:22
4/14/2020,23247,,,1222,,868,,,74,,4/13/2020 16:22
4/15/2020,24593,,,1346,,948,,,80,,4/15/2020 16:22
4/16/2020,25733,,,1140,,1072,,,124,,4/16/2020 16:22
4/17/2020,27575,,,1842,,1134,,,62,,4/17/2020 16:22
4/18/2020,29160,,,1585,,1259,,,125,,4/18/2020 16:22
4/19/2020,30357,30357,0,1197,0,1290,1290,0,31,0,4/19/2020 16:22
4/20/2020,31508,31508,0,1151,0,1349,1349,0,59,0,4/20/2020 16:22
4/21/2020,33059,33059,0,1551,0,1468,1468,0,119,0,4/21/2020 16:22
4/22/2020,35108,35108,0,2049,0,1565,1565,0,97,0,4/22/2020 16:22
4/23/2020,36934,36934,0,1826,0,1688,1688,0,123,0,5/25/2020 15:38
4/24/2020,39658,39658,0,2724,0,1795,1795,0,107,0,5/25/2020 15:38
4/25/2020,41777,41777,0,2119,0,1874,1874,0,79,0,5/25/2020 15:38
4/26/2020,43903,43903,0,2126,0,1933,1933,0,59,0,5/25/2020 15:38
4/27/2020,45883,45883,0,1980,0,1983,1983,0,50,0,5/25/2020 15:38
4/28/2020,48102,48102,0,2219,0,2125,2125,0,142,0,4/29/2020 18:12
4/29/2020,50355,50355,0,2253,0,2215,2215,0,90,0,4/30/2020 16:07
4/30/2020,52918,52918,0,2563,0,2355,2355,0,140,0,5/1/2020 21:00
5/1/2020,56055,56055,0,3137,0,2457,2457,0,102,0,5/2/2020 15:47
5/2/2020,58505,58505,0,2450,0,2559,2559,0,102,0,5/3/2020 15:36
5/3/2020,61449,61449,0,2944,0,2618,2618,0,59,0,5/4/2020 22:49
5/4/2020,63840,63840,0,2391,0,2662,2662,0,44,0,5/5/2020 17:25
5/5/2020,65962,65962,0,2122,0,2838,2838,0,176,0,5/6/2020 16:23
5/6/2020,68232,68232,0,2270,0,2974,2974,0,136,0,5/7/2020 22:59
5/7/2020,70873,70873,0,2641,0,3111,3111,0,137,0,5/8/2020 21:26
5/8/2020,73760,73760,0,2887,0,3241,3241,0,130,0,5/9/2020 21:26
5/9/2020,76085,76085,0,2325,0,3349,3349,0,108,0,5/10/2020 21:26
5/10/2020,77741,77741,0,1656,0,3406,3406,0,57,0,5/11/2020 21:26
